chi,seed,partition_id,S,run_status,notes
2,54,part_A_16,1.3189737356,ok,
2,55,part_A_16,1.3862943611,ok,
2,56,part_A_16,1.3273809599,ok,
4,1054,part_A_16,2.7725887222,ok,
4,1055,part_A_16,2.7725887222,ok,
4,1056,part_A_16,2.7725887222,ok,
8,2054,part_A_16,4.1531833540,ok,
8,2055,part_A_16,4.1588830834,ok,
8,2056,part_A_16,3.9560467452,ok,
2,1000054,part_A_8,2.0794415417,ok,
2,1000055,part_A_8,2.0093988414,ok,
2,1000056,part_A_8,2.0003457813,ok,
4,1001054,part_A_8,4.1588830834,ok,
4,1001055,part_A_8,4.0228479721,ok,
4,1001056,part_A_8,4.1588830834,ok,
8,1002054,part_A_8,6.2208232571,ok,
8,1002055,part_A_8,6.0706338400,ok,
8,1002056,part_A_8,5.9758488622,ok,
2,2000054,part_A_4,2.7725887222,ok,
2,2000055,part_A_4,2.7223964038,ok,
2,2000056,part_A_4,2.6663496638,ok,
4,2001054,part_A_4,5.5451774445,ok,
4,2001055,part_A_4,5.2416921804,ok,
4,2001056,part_A_4,5.0166068314,ok,
8,2002054,part_A_4,8.2439423947,ok,
8,2002055,part_A_4,7.6987004696,ok,
8,2002056,part_A_4,8.3177661667,ok,
